,Neighborhood,Sex Offences,Assaults,Robbery,Break & Enter,Auto Theft,Other Theft,Offensive Weapons
27,TPS D14,0.0736235595390525,0.0736257358427991,0.055303030303030305,0.10075949367088607,0.05162064825930372,0.05560588112326667,0.05065666041275797
28,TPS D22,0.051856594110115235,0.04983003067738993,0.06136363636363636,0.05822784810126582,0.03841536614645858,0.05936868510905163,0.05753595997498437
29,TPS D23,0.06145966709346991,0.04609899676643728,0.06742424242424243,0.022278481012658228,0.062424969987995196,0.03177478921329524,0.03314571607254534
30,TPS D31,0.08642765685019206,0.08092197993532875,0.0803030303030303,0.05721518987341772,0.07202881152460984,0.056860149118528325,0.08755472170106317
31,TPS D32,0.06145966709346991,0.0639250476743222,0.04772727272727273,0.035949367088607596,0.08163265306122448,0.07574385060274545,0.06316447779862414
32,TPS D33,0.03777208706786172,0.03971478318547384,0.030303030303030304,0.012658227848101266,0.05042016806722689,0.03595568253083409,0.02626641651031895
33,TPS D41,0.07682458386683738,0.0742890307603018,0.06818181818181818,0.06886075949367089,0.04081632653061224,0.09121315587763919,0.07442151344590368
34,TPS D42,0.05441741357234315,0.05596550866428986,0.07348484848484849,0.04962025316455696,0.06602641056422569,0.044526513831788725,0.031269543464665414
35,TPS D43,0.08322663252240717,0.09833347151977448,0.1143939393939394,0.10632911392405063,0.11524609843937575,0.0759528952686224,0.09943714821763602
36,TPS D51,0.0793854033290653,0.09584611557913937,0.09242424242424242,0.11392405063291139,0.061224489795918366,0.07671939237683785,0.14446529080675422
37,TPS D52,0.07298335467349552,0.0749523256778045,0.05606060606060606,0.08810126582278481,0.05162064825930372,0.12270921886976517,0.10193871169480925
38,TPS D53,0.04033290653008963,0.04070972556172788,0.04015151515151515,0.06430379746835443,0.03601440576230492,0.056860149118528325,0.032520325203252036
39,TPS D54/D55,0.08578745198463508,0.0862283392753503,0.07727272727272727,0.08151898734177215,0.04801920768307323,0.07393213016514529,0.07567229518449031
40,SPVM 1.0,0.011241696474195196,0.006101694915254237,0.007121910347716799,0.00986559908492994,0.015274242073594076,0.008459315716738558,0.00872093023255814
41,SPVM 3.0,0.025549310168625446,0.02967984934086629,0.016757436112274822,0.025021446954532456,0.019902800277713493,0.011977050965283304,0.01744186046511628
42,SPVM 4.0,0.012774655084312723,0.012580037664783427,0.012987012987012988,0.010580497569345154,0.01388567461235825,0.007956782109803592,0.005813953488372093
43,SPVM 5.0,0.022483392948390392,0.021393596986817327,0.02094679514034353,0.02688018301401201,0.040499884286044896,0.02525231374848193,0.020348837209302327
44,SPVM 7.0,0.0342360756259581,0.03314500941619586,0.03058232090490155,0.03874749785530455,0.087248322147651,0.03165961723690272,0.014534883720930232
45,SPVM 8.0,0.02963719979560552,0.03932203389830508,0.02178466694595727,0.021160995138690308,0.01596852580421199,0.01721177603752251,0.029069767441860465
46,SPVM 9.0,0.005620848237097598,0.006704331450094162,0.006284038542103058,0.009722619388046897,0.010414255959268688,0.007496126303446543,0.005813953488372093
47,SPVM 11.0,0.022483392948390392,0.03367231638418079,0.034771679932970256,0.024878467257649414,0.020365656098125434,0.020687633485489344,0.029069767441860465
48,SPVM 13.0,0.03168114460909555,0.03969868173258004,0.03225806451612903,0.03016871604232199,0.022911363110391113,0.030319527618409482,0.011627906976744186
49,SPVM 26.0,0.04190086867654573,0.04971751412429379,0.06032677000418936,0.051901629968544465,0.059708400833140475,0.058168265002722055,0.0377906976744186
